Symbol,Date,Session,TimeFrame,StrategyName,StateMachine,EntryNumber,Quantity,EntryFillPrice,EntryAmount,EntryFillTime,ExitFillPrice,ExitAmount,ExitFillTime,ExitReason,Pnl,PnlPerc,NetPnl,Mfe,MfePerc,MfeTimeStamp,Mae,MaePerc,MaeTimeStamp,PnlPerc_category,MfePerc_category,SamplingData,
ETHUSDT,20240102,Ist,1,Orb,Breakout,6,0.0041,2385.48,9.7805,05:37:00,2383.29,9.7715,05:42:00,PriceActionEod,-2.19,-0.0918,-0.009,2386.11,0.0264,05:38:00,2383.29,-0.0918,05:42:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Ist,1,OrbManual,Breakout,6,0.0041,2385.48,9.7805,05:37:00,2383.29,9.7715,05:42:00,PriceActionEod,-2.19,-0.0918,-0.009,2386.11,0.0264,05:38:00,2383.29,-0.0918,05:42:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Ist,1,Orb,Breakout,7,0.0041,2385.48,9.7805,05:43:00,2381.94,9.766,05:45:00,PriceActionEod,-3.54,-0.1484,-0.0145,2385.48,0,05:43:00,2381.21,-0.179,05:44:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
ETHUSDT,20240102,Ist,1,OrbManual,Breakout,7,0.0041,2385.48,9.7805,05:43:00,2381.94,9.766,05:45:00,PriceActionEod,-3.54,-0.1484,-0.0145,2385.48,0,05:43:00,2381.21,-0.179,05:44:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
ADAUSDT,20240102,Utc,1,YesterdayHigh,Breakout,4,16,0.6237,9.9792,05:45:00,0.6249,9.9984,05:47:00,PriceActionEod,0.0012,0.1924,0.0192,0.6249,0.1924,05:47:00,0.6237,0,05:45:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,Orb,Breakout,8,107,0.09296,9.9467,05:47:00,0.09288,9.9382,05:53:00,PriceActionEod,-8.00E-05,-0.0861,-0.0086,0.09297,0.0108,05:50:00,0.09288,-0.0861,05:53:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,OrbManual,Breakout,8,107,0.09296,9.9467,05:47:00,0.09288,9.9382,05:53:00,PriceActionEod,-8.00E-05,-0.0861,-0.0086,0.09297,0.0108,05:50:00,0.09288,-0.0861,05:53:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,5,OrbManual,Breakout,5,107,0.09284,9.9339,05:54:00,0.09271,9.92,06:53:00,PriceActionEod,-0.00013,-0.14,-0.0139,0.093,0.1723,06:26:00,0.09271,-0.14,06:53:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,5,Orb,Breakout,5,107,0.09284,9.9339,05:54:00,0.09271,9.92,06:53:00,PriceActionEod,-0.00013,-0.14,-0.0139,0.093,0.1723,06:26:00,0.09271,-0.14,06:53:00,-00.4 to -00.1,-00.1 to 000.2,InSample,
DOGEUSDT,20240102,Ist,1,Orb,Breakout,9,107,0.09295,9.9456,05:57:00,0.09286,9.936,05:59:00,PriceActionEod,-9.00E-05,-0.0968,-0.0096,0.09295,0,05:57:00,0.09286,-0.0968,05:59:00,-00.1 to 000.2,-00.1 to 000.2,InSample,
